species;supplied_breed;country;iso3;most_common_name;transboundary_name;other_name;dadis_url
Ovis aries;Schoonebeek heath;Netherlands;NLD;Schoonebeeker Heideschaap;Schoonebeek heath sheep;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Sheep&breed=Schoonebeeker%20Heideschaap
Ovis aries;Mergelland sheep;Netherlands;NLD;Mergelland Schaap;Mergelland Scheep;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Sheep&breed=Mergelland%20Schaap
Bos taurus;Bearnaise;France;FRA;Béarnaise;Bearnais;Bearnais, Blonde des Pyrénées, Basco-Béarnaise;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Cattle&breed=B%C3%A9arnaise
Bos taurus;Bleu de Bazouger;France;FRA;Bleue de Bazougers;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Cattle&breed=Bleue%20de%20Bazougers
Bos taurus;Pie Rouge;France;FRA;Pie Rouge des Plaines;Pie Rouge des Plaines;French Red Pied Lowland;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Cattle&breed=Pie%20Rouge%20des%20Plaines
Bos taurus;Prim Holstein;France;FRA;Prim'Holstein;Holstein (black and white);Francaise Frisonne, French Holstein-Friesian;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Cattle&breed=Prim%27Holstein
Bos taurus;Rouge des Près;France;FRA;Rouge des prés;Maine-Anjou;Dairy Maine Anjou, Durham-Mancelle, Rouge des pres Lait;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Cattle&breed=Rouge%20des%20pr%C3%A9s
Capra hircus;Chèvres de Lorraine;France;FRA;Chèvre de Lorraine;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Goat&breed=Ch%C3%A8vre%20de%20Lorraine
Capra hircus;Provençale;France;FRA;Provencale;Provencal;Payse, Provencal, Commune Provencale;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Goat&breed=Provencale
Capra hircus;Pyrénées;France;FRA;Pyrénéenne;Pyrenean;Pyrenean;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Goat&breed=Pyr%C3%A9n%C3%A9enne
Equus asinus;Grand Noir du Berry;France;FRA;Âne grand noir du Berry;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Ass&breed=%C3%82ne%20grand%20noir%20du%20Berry
Equus caballus;Poney Landais;France;FRA;Landais;Landais;Landais;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Horse&breed=Landais
Equus caballus;Pur Sang Anglais;France;FRA;Pur sang;Thoroughbred;Thoroughbred;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Horse&breed=Pur%20sang
Equus caballus;Trait Mulassier;France;FRA;Mulassier du Poitou;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Horse&breed=Mulassier%20du%20Poitou
Ovis aries;Baregeoise;France;FRA;Barégeoise;Baregeois;Baregeois;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Bar%C3%A9geoise
Ovis aries;Basco-Bearnaise;France;FRA;Basco-Béarnaise;;Basco-Béarnaise;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Basco-B%C3%A9arnaise
Ovis aries;Belle Isle;France;FRA;Belle Ile;Belle Ile;Race de Deux;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Belle%20Ile
Ovis aries;Est à Laine Merinos;France;FRA;Est à laine Mérinos;Est ŕ laine Mérino;Merino de l'Est;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Est%20%C3%A0%20laine%20M%C3%A9rinos
Ovis aries;Manech tete noire;France;FRA;Manech Tête Noire;Black-Face Manech;Black-Face Manech;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Manech%20T%C3%AAte%20Noire
Ovis aries;Manech tete rousse;France;FRA;Manech Tête Rousse;Red-Face Manech;Red-Face Manech;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Manech%20T%C3%AAte%20Rousse
Ovis aries;Mérinos d'Arles Booroola;France;FRA;Mérinos d'Arles;;Arles Merino, Mérinos de la Crau, Métis;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=M%C3%A9rinos%20d%27Arles
Ovis aries;Mérinos Precoce;France;FRA;Mérinos précoce;Precoce;Precoce;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=M%C3%A9rinos%20pr%C3%A9coce
Ovis aries;Moutons Charollais;France;FRA;Mouton charollais;Charollais;;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Mouton%20charollais
Ovis aries;Moutons Vendeens;France;FRA;Mouton vendéen;Vendeen;Vendéen;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Mouton%20vend%C3%A9en
Ovis aries;Raïole;France;FRA;Raiole;Raiole;Rayole;https://fao-dadis-breed-detail.firebaseapp.com/?country=FRA&specie=Sheep&breed=Raiole
